File,Participant,Hits,Misses,CorrectRejections,FalseAlarms,Sensitivity,Specificity,d',% accuracy,Average RT
psymrt_3005_20180122_2017.csv,3005,0,6,76,17,0.07692307692307693,0.8172043010752689,-2.3308390378952026,0.7676767676767676,1071.2727272727273
psymrt_3006_20180122_1843.csv,3006,1,8,78,12,0.1111111111111111,0.8666666666666667,-2.3314119651913643,0.797979797979798,1509.2631578947369
